accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_full_heading,sowing_-_end_of_heading,sowing_-_flowering,beginning_of_heading_-_full_heading,beginning_of_heading_-_end_of_heading,beginning_of_heading_-_flowering,full_heading_-_end_of_heading,full_heading_-_flowering,end_of_heading_-_flowering,name,description,campaign,days_to_heading
40396,NA,NA,19780404,19780617,19780620,NA,NA,134,50.3,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,170
40502,NA,NA,19780404,19780617,19780620,NA,NA,107,47,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,170
40505,NA,NA,19780404,19780615,19780619,NA,NA,103,43.6,72,76,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,169
40506,NA,NA,19780404,19780617,19780620,NA,NA,77,54.8,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,170
40510,NA,NA,19780404,19780619,19780622,NA,NA,117,53,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,172
40512,NA,NA,19780404,19780622,19780626,NA,NA,102,47,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,176
40513,NA,NA,19780404,19780618,19780621,NA,NA,102,47,75,78,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,171
40514,NA,NA,19780404,19780619,19780622,NA,NA,90,55.4,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,172
40517,NA,NA,19780404,19780616,19780620,NA,NA,84,68.8,73,77,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,170
40518,NA,NA,19780404,19780615,19780619,NA,NA,85,43.2,72,76,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,169
40519,NA,NA,19780404,19780623,19780627,NA,NA,100,40.6,80,84,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,177
40520,NA,NA,19780404,19780619,19780623,NA,NA,99,43.4,76,80,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,173
40521,NA,NA,19780404,19780622,19780627,NA,NA,707,52.1,79,84,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,177
40522,NA,NA,19780404,19780620,19780627,NA,NA,98,40.7,77,84,NA,NA,7,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,177
40523,NA,NA,19780404,19780627,19780630,NA,NA,94,58.9,84,87,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,180
40524,NA,NA,19780404,19780624,19780630,NA,NA,91,49.3,81,87,NA,NA,6,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,180
40525,NA,NA,19780404,19780624,NA,NA,NA,74,45.8,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA
